distance,correspondanceId,arretId
26,cenbett1,cenbett2
26,cenbett2,cenbett1
29,hopices2,hopices1
29,hopices1,hopices2
70,kervill2,kervill1
150,courbet2,kervill1
70,kervill1,kervill2
54,cxpotie2,cxpotie1
104,cxpotrn2,cxpotie1
103,cxpotrn1,cxpotie1
54,cxpotie1,cxpotie2
158,cxpotrn2,cxpotie2
154,cxpotrn1,cxpotie2
47,trembla1,trembla2
47,trembla2,trembla1
42,mansevi2,mansevi1
42,mansevi1,mansevi2
25,musscha1,musscha2
25,musscha2,musscha1
171,cenbru2,hugo2
20,hugo1,hugo2
192,cenbru2,hugo1
20,hugo2,hugo1
191,arsenal1,plelo2
66,plelo1,plelo2
186,nemours1,plelo1
66,plelo2,plelo1
121,troicro2,troicx30
98,troicro1,troicx30
20,belvusj1,belvusj2
196,buhoti1,belvusj2
183,buhoti2,belvusj2
20,belvusj2,belvusj1
198,buhoti2,belvusj1
64,landrel1,landrel2
64,landrel2,landrel1
64,cxrouve1,cxrouve2
34,cxrobr2,cxrobr1
16,pisbreq2,pisbreq1
96,pigblan1,pisbreq1
178,pigblan2,pisbreq1
130,pigeonb1,pisbreq1
145,pigeonb2,pisbreq1
16,pisbreq1,pisbreq2
109,pigblan1,pisbreq2
192,pigblan2,pisbreq2
146,pigeonb1,pisbreq2
162,pigeonb2,pisbreq2
84,bourgog2,bourgog1
84,bourgog1,bourgog2
145,juteaud2,juteaud1
145,juteaud1,juteaud2
34,cxrobr1,cxrobr2
31,colin2,colin1
162,chaagri2,colin1
49,valleeb2,valleeb1
31,colin1,colin2
190,chaagri2,colin2
49,valleeb1,valleeb2
56,landry1,landry2
15,dargent1,dargent2
21,parloch1,parloch2
193,merel2,parloch2
15,dargent2,dargent1
21,parloch2,parloch1
32,metairi1,metairi2
104,metairi4,metairi2
122,metairi3,metairi2
32,metairi2,metairi1
109,metairi4,metairi1
131,metairi3,metairi1
126,ptstra2,ptstra1
123,ptstras2,ptstra1
63,ptstras1,ptstra1
126,ptstra1,ptstra2
94,ptstras2,ptstra2
107,ptstras1,ptstra2
104,metairi2,metairi4
109,metairi1,metairi4
26,metairi3,metairi4
107,bellece2,metairi4
136,bellece1,metairi4
122,metairi2,metairi3
131,metairi1,metairi3
26,metairi4,metairi3
89,bellece2,metairi3
121,bellece1,metairi3
27,pologne1,pologne2
27,pologne2,pologne1
110,cxpig1,parcacti
88,cxpig2,parcacti
10,cxmalter,cxmalin2
50,hallouv2,hallouv1
23,maparth2,maparth1
26,tchemil1,tchemil2
40,verdaud2,verdaud1
191,centenf2,hallouv2
50,hallouv1,hallouv2
23,maparth1,maparth2
40,verdaud1,verdaud2
199,gallet1,donzelo1
17,donzelo2,donzelo1
194,gallet1,donzelo2
17,donzelo1,donzelo2
26,tchemil2,tchemil1
13,serpett1,serpett2
197,stmarti2,cimnord2
85,cimnord1,cimnord2
13,serpett2,serpett1
17,patis2,patis1
17,patis1,patis2
27,gdquart,grquart2
185,robique2,grquart2
15,fonderi2,fonderi1
154,stmarti2,cimnord1
188,stmarti1,cimnord1
85,cimnord2,cimnord1
15,sqrance2,sqrance1
88,dinan2,sqrance1
132,dinan1,sqrance1
164,dieuw2,sqrance1
15,fonderi1,fonderi2
15,sqrance1,sqrance2
94,dinan2,sqrance2
142,dinan1,sqrance2
149,dieuw2,sqrance2
173,church1,churbou
