id,direction_id,ligne_id,calendrier_id,macro_direction
18253,71,43,232,0
14051,103,43,3,0
4790,103,43,232,0
818,103,43,232,0
12073,103,43,228,0
16647,71,43,228,0
2704,103,43,3,0
8779,103,43,3,0
26016,103,43,232,0
30622,71,43,228,0
30710,103,43,228,0
28336,71,43,3,0
26270,103,43,228,0
14899,103,43,228,0
30857,103,43,228,0
30820,71,43,228,0
24240,71,43,228,0
26493,103,43,3,0
28069,71,43,3,0
26520,71,43,232,0
14139,103,43,232,0
30493,103,43,3,0
26957,71,43,232,0
6534,103,43,228,0
28102,103,43,228,0
22550,52,42,69,0
22422,94,42,69,0
31389,94,42,97,0
10747,52,42,30,0
12973,52,42,30,0
33043,52,42,97,0
29026,94,42,30,0
29068,94,42,30,0
22099,94,42,69,0
12728,94,42,30,0
12747,94,42,69,0
35399,94,42,97,0
12350,94,42,97,0
35073,94,42,30,0
35156,52,42,69,0
24850,52,42,97,0
9755,52,42,97,0
9767,52,42,69,0
2248,52,42,69,0
33354,52,42,69,0
9551,94,42,30,0
9544,52,42,30,0
9511,52,42,97,0
33481,52,42,69,0
17974,94,42,97,0
22960,52,42,69,0
10390,52,42,97,0
4995,52,42,97,0
10343,94,42,97,0
22711,94,42,69,0
10223,52,42,97,0
17501,52,42,97,0
21942,94,42,97,0
19000,52,42,30,0
19034,94,42,97,0
1613,94,42,30,0
27820,52,42,30,0
17051,94,42,97,0
1418,94,42,30,0
19590,52,42,97,0
5756,52,42,69,0
27522,94,42,30,0
5574,52,42,30,0
5582,52,42,30,0
15034,52,42,30,0
9922,94,42,30,0
19640,94,42,97,0
19670,52,42,69,0
15068,52,42,69,0
21147,94,42,69,0
27264,94,42,69,0
7438,52,42,97,0
21172,52,42,30,0
21191,94,42,30,0
5126,94,42,30,0
27016,52,42,30,0
15491,94,42,30,0
15450,94,42,69,0
13107,52,42,30,0
31798,94,42,97,0
25405,94,42,30,0
7984,52,42,30,0
29836,52,42,69,0
29849,94,42,97,0
25554,52,42,30,0
29798,52,42,30,0
31669,52,42,97,0
7628,52,42,30,0
29690,94,42,30,0
15890,52,42,97,0
23691,94,42,97,0
23608,94,42,69,0
11922,94,42,69,0
11921,94,42,30,0
25730,52,42,30,0
23890,52,42,69,0
23840,52,42,30,0
23017,52,42,30,0
23096,52,42,30,0
23227,52,42,30,0
34091,52,42,97,0
11113,94,42,69,0
32224,94,42,30,0
32233,52,42,69,0
11447,94,42,30,0
11429,94,42,97,0
11435,94,42,97,0
11338,94,42,69,0
3684,52,42,97,0
18713,94,42,97,0
11657,52,42,97,0
11698,52,42,30,0
20859,94,42,97,0
3772,94,42,69,0
18827,94,42,97,0
3189,52,42,97,0
34964,94,42,69,0
34962,52,42,69,0
