id,nom,latitude,longitude
1169,Musée Beaux Arts,48.109809,-1.674483
1168,République,48.109761,-1.678807
1167,République,48.109405,-1.678734
1166,Musée Beaux Arts,48.109914,-1.675145
1374,Longs Prés,48.133162,-1.65696
1373,Hôtel de Région,48.135248,-1.65936
3901,Bois Esnault,47.999909,-1.696968
1372,Saint-Laurent,48.138364,-1.659181
1371,Lycée Mendès France,48.133171,-1.68511
3903,Mouton Blanc,48.010649,-1.700885
3902,Caliorne,48.006505,-1.69847
3905,Pont-Péan Mairie,48.010604,-1.707005
3904,Chemin Vert,48.012935,-1.702976
3907,Fontaine Blanche,48.016278,-1.705639
3906,Rivaudière,48.013631,-1.707588
3909,Renaissance,48.01986,-1.707123
3908,Renaissance,48.019925,-1.706935
1366,Châtillon,48.097797,-1.67092
1171,Pont de Châteaudun,48.110016,-1.663623
1367,Rennes Mairie,48.111022,-1.679517
1172,Robidou,48.11003,-1.659227
1364,Bigot de Préameneu,48.098048,-1.667094
1365,Ormeaux,48.097759,-1.669245
1170,Paul Bert,48.109996,-1.669018
1175,Beaulieu Chimie,48.117101,-1.633896
1176,Beaulieu INSA,48.119028,-1.63521
1368,Square de la Rance,48.118322,-1.680513
1173,Pont de Strasbourg,48.110055,-1.656165
1369,Auberge de Jeunesse,48.120269,-1.68102
1174,Plaine de Baud,48.112437,-1.64292
1156,Le Blizz,48.131782,-1.651905
1155,Gayeulles,48.129145,-1.652001
1158,Héronière,48.135605,-1.656126
1157,Gayeulles Piscine,48.134935,-1.651955
1361,Langevin,48.094222,-1.658163
4201,Croix Blanche,48.051925,-1.797682
1360,Gide,48.092518,-1.658308
1159,Hôtel de Région,48.134358,-1.658784
1363,Sainte-Thérèse,48.097427,-1.662555
1362,Leray,48.095014,-1.661464
1353,Torigné,48.084535,-1.657962
1160,Tournebride,48.114099,-1.637565
1356,Galicie,48.087458,-1.649853
1161,Plaine de Baud,48.112232,-1.644227
1358,Pologne,48.091419,-1.651912
1163,Robidou,48.110164,-1.660479
1359,Landrel,48.091479,-1.655599
1164,Pont de Châteaudun,48.110145,-1.663921
1165,Paul Bert,48.110111,-1.67021
2008,La Coulée,48.123628,-1.604384
2009,Fontenelle,48.123585,-1.608134
2210,Lilas,48.09378,-1.699969
2006,Petits Champs,48.125255,-1.596592
2007,Bourgchevreuil,48.123121,-1.600517
1319,Domaine,48.097002,-1.641653
2005,Grand Domaine,48.124609,-1.594305
1318,Landry,48.09913,-1.646084
2002,Cesson Hôpital Privé,48.130233,-1.627664
1317,Villebois-Mareuil,48.100101,-1.649415
2003,Cesson Hôpital Privé,48.130071,-1.628026
1316,Raison,48.101171,-1.652938
1315,République,48.109698,-1.678048
1314,IUT,48.125106,-1.632973
1313,Beaulieu Restau U,48.121826,-1.638248
1312,Beaulieu Chimie,48.116581,-1.633944
1311,Guilloux,48.10957,-1.698313
1310,Marbeuf,48.111292,-1.700837
2858,Kerfleury,48.138445,-1.672022
