arretId,correspondanceId,distance
drlaene,mabetto2,198
lybrequ1,lybrequ2,1
vcentre1,vcentre2,159
vcentre2,vcentre1,159
gautrais,gautrai2,4
maingue2,maingue1,4
lybrequ2,lybrequ1,1
ptesaud2,ptesaud1,23
maingue1,maingue2,4
cenbru2,cenbruz,32
ptesaud1,ptesaud2,23
stmarti1,stmarti2,40
stmarti1,iufm2,180
stmarti1,coet1,195
chadun1,barbes1,178
chadun1,barbes2,188
herveri1,herveri2,15
herveri2,herveri1,15
roncera1,roncera2,15
vitrfou2,quentin2,183
vitrfou2,quentin1,169
vitrfou2,vitrpeg2,143
vitrfou2,vitrpeg1,170
vitrfou2,vitrfou1,65
vitrfou2,vitrdan1,131
vitrfou2,vitrdan2,184
vitrfou1,quentin2,194
vitrfou1,quentin1,174
vitrfou1,vitrpeg2,116
vitrfou1,vitrpeg1,147
vitrfou1,vitrfou2,65
vitrfou1,vitrdan1,77
vitrfou1,vitrdan2,127
genets1,genets2,36
genets2,genets1,36
champal2,champal1,8
champal1,champal2,8
recipon1,recipon2,42
tourneb1,tourneb2,81
tourneb2,tourneb1,81
pacoua1,pacoua2,150
popla1,poteri1,13
popla1,poteri2,34
popla1,poteri3,147
popla1,poteri4,192
popla1,potepl2,8
pacoua2,pacoua1,150
recipon2,recipon1,42
patton2,patton1,112
palissy2,palissy1,48
palissy2,garigli1,194
palissy1,palissy2,48
patton1,patton2,112
patton1,houx1,138
patton1,houx2,162
foyerre2,foyerre1,63
foyerre1,foyerre2,63
plsevig1,plsevig2,6
ptpastm1,repto1,193
ptpastm1,zola1,57
ptpastm1,ptpaste1,75
ptpastm1,ptpastm2,45
ptpastm1,ppaskl2,139
ptpastm2,zola1,70
ptpastm2,ptpaste1,81
ptpastm2,ptpastm1,45
ptpastm2,ppaskl2,111
plsevig2,plsevig1,6
eclose1,eclose2,14
eclose2,eclose1,14
styves2,styves1,41
styves1,styves2,41
styves1,pilate2,162
barbes1,chadun1,178
barbes1,barbes2,11
barbes2,chadun1,188
barbes2,barbes1,11
mageve2,mageve1,45
mageve1,mageve2,45
rdpbra2,rdptbra1,43
alma1,alma,177
alma2,alma,80
mouljgl2,mouljgl1,70
mouljgl2,horegn1,98
mouljgl2,boisper2,196
mouljgl2,boisper1,155
eboue1,eboue2,15
eboue1,cormr1,146
eboue1,cormr2,171
pavie2,pavie1,56
pavie1,pavie2,56
mouljgl1,mouljgl2,70
mouljgl1,horegn1,167
mouljgl1,boisper2,191
mouljgl1,boisper1,140
mouljgl1,mouljml2,150
mouljgl1,mouljml1,156
pilate2,styves1,162
pilate2,pilate1,116
pilate1,pilate2,116
iutguil1,iutguil2,65
iutguil2,iutguil1,65
ptnemoun,repjof2,157
ptnemoun,repjof3,152
ptnemoun,repjof4,184
ptnemoun,repx2,57
ptnemoun,repwe,42
ptnemoun,repwb,99
ptnemoun,nemours2,189
ptnemoun,ptnemous,9
ptnemoun,repjaurs,173
ptnemoun,repjaurn,176
ptnemoun,repea,104
ptnemoun,repbottb,138
ptnemoun,mairieb,114
ptnemoun,repbottc,95
ptnemoun,repjoffa,169
restuni1,restuni2,50
restuni1,bearubc2,126
