ligne_id,arret_id,forward,backward
TBC05_05,TBC1228REN54A,1,0
TBC05_05,TBC126PFR54R,0,1
TBC05_05,TBC1278GER37R,0,1
TBC05_05,TBC1288BRU09R,1,0
TBC05_05,TBC1312FON55R,0,1
TBC05_05,TBC1325VEL54A,1,0
TBC05_05,TBC1338AFR21R,1,0
TBC05_05,TBC1407ALO55A,1,0
TBC05_05,TBC1421CAR55R,0,1
TBC05_05,TBC1467HON55A,1,0
TBC05_05,TBC1478ALO55R,0,1
TBC05_05,TBC1481LAN55R,0,1
TBC05_05,TBC1489LIB55R,0,1
TBC05_05,TBC1559AST37A,1,0
TBC05_05,TBC1565CAN36R,0,1
TBC05_05,TBC157CLE54R,0,1
TBC05_05,TBC1606BOU16A,1,0
TBC05_05,TBC1628CUR37R,0,1
TBC05_05,TBC1647RPI20R,1,0
TBC05_05,TBC1649AVI57R,0,1
TBC05_05,TBC1650PAU57A,1,0
TBC05_05,TBC1652PBO54R,0,1
TBC05_05,TBC1653LAB54R,0,1
TBC05_05,TBC1654PER54A,1,0
TBC05_05,TBC1657GRU57A,1,0
TBC05_05,TBC1692TOU51A,0,1
TBC05_05,TBC1737BLA52R,0,1
TBC05_05,TBC17GAM04R,1,0
TBC05_05,TBC185TIL20R,1,0
TBC05_05,TBC1919TRE52R,0,1
TBC05_05,TBC202BLA52A,1,0
TBC05_05,TBC206GER37A,1,0
TBC05_05,TBC210DUM52A,1,0
TBC05_05,TBC214VER54R,0,1
TBC05_05,TBC2164FON20A,0,1
TBC05_05,TBC227FAV20A,0,1
TBC05_05,TBC231BAG20A,0,1
TBC05_05,TBC2329CARN9A,0,1
TBC05_05,TBC2349BTOU9R,1,0
TBC05_05,TBC235DUM52R,0,1
TBC05_05,TBC2397SNI20A,0,1
TBC05_05,TBC2398KER20A,0,1
TBC05_05,TBC2399NAN22A,0,1
TBC05_05,TBC2403FON20R,1,0
TBC05_05,TBC2404SNI20R,1,0
TBC05_05,TBC2443JPU15R,0,1
TBC05_05,TBC2444GAM04A,0,1
TBC05_05,TBC2482STA55A,1,0
TBC05_05,TBC2485EPA20A,0,1
TBC05_05,TBC2487SAR21A,0,1
TBC05_05,TBC2494SAR21R,1,0
TBC05_05,TBC2500PEX55R,0,1
TBC05_05,TBC2545CAN36A,1,0
TBC05_05,TBC2546HIP54R,0,1
TBC05_05,TBC2554AST37R,0,1
TBC05_05,TBC2576CUR37A,1,0
TBC05_05,TBC2584AGR37R,0,1
TBC05_05,TBC2600BOR37A,1,0
TBC05_05,TBC2642BME54R,0,1
TBC05_05,TBC2643TPA57R,0,1
TBC05_05,TBC266BRI21R,1,0
TBC05_05,TBC2689BTO20A,0,1
TBC05_05,TBC2690LEY20A,0,1
TBC05_05,TBC2691RPI20A,0,1
TBC05_05,TBC2692JOF20A,0,1
TBC05_05,TBC2693MAL20A,0,1
TBC05_05,TBC2704PEX55A,1,0
TBC05_05,TBC2712MAY20R,1,0
TBC05_05,TBC2713MAL20R,1,0
TBC05_05,TBC2715JOF20R,1,0
TBC05_05,TBC2716FAV20R,1,0
TBC05_05,TBC2717LEY20R,1,0
TBC05_05,TBC2718BAG20R,1,0
TBC05_05,TBC2726BON21R,1,0
TBC05_05,TBC2727CAM21R,1,0
TBC05_05,TBC2728LEO21R,1,0
TBC05_05,TBC273LAN55A,1,0
TBC05_05,TBC284PER54R,0,1
TBC05_05,TBC285CAR21A,0,1
TBC05_05,TBC2887MOU55R,0,1
TBC05_05,TBC2897AUR21A,0,1
TBC05_05,TBC2912HON55R,0,1
TBC05_05,TBC2933TLA52A,1,0
TBC05_05,TBC2934TLA52R,0,1
TBC05_05,TBC2935ACA52R,0,1
TBC05_05,TBC2936ACA52A,1,0
TBC05_05,TBC2937GGA55A,1,0
TBC05_05,TBC2938GGA55R,0,1
TBC05_05,TBC2939EYB55A,1,0
TBC05_05,TBC2940BOY55R,0,1
TBC05_05,TBC2942ABO37R,0,1
TBC05_05,TBC2943TCI37A,1,0
TBC05_05,TBC2944BOR37R,0,1
TBC05_05,TBC2946MOL37A,1,0
TBC05_05,TBC2947TABOET,1,1
TBC05_05,TBC2981RJJ52A,1,0
TBC05_05,TBC2986EYSINE,1,1
TBC05_05,TBC2BRI21A,0,1
TBC05_05,TBC3216GBA04R,1,0
TBC05_05,TBC3297ABO37A,1,0
TBC05_05,TBC3302TCI37R,0,1
TBC05_05,TBC3341TCHA05,1,1
